Function identifier,Function label,calls,inclusive execution time(ticks),inclusive execution time(ticks)_std,exclusive execution time(ticks),exclusive execution time(ticks)_std,inclusive execution time(μs),inclusive execution time(μs)_std,exclusive execution time(μs),exclusive execution time(μs)_std
149,_InsertResult.init,209547,203061368.4,2118576.1127836565,203061368.4,2118576.1127836565,75207.91422222223,784.6578195495024,75207.91422222223,784.6578195495024
150,_RedBlackTree.put,209547,18020742037.0,104921236.57078402,1118304993.8,7654554.027990357,6674348.902592593,38859.71724843852,414187.0347407407,2835.020010366799
152,_RedBlackTree.get,71884,8864950700.4,49158330.52622525,86912190.5,1528939.2125394617,3283315.074222222,18206.789083787127,32189.700185185186,566.2737824220228
153,_RedBlackTree.for_each,400,4632155596.4,27194046.053938154,511455821.8,3143493.135955661,1715613.1838518516,10071.868908865983,189428.08214814815,1164.2567170206153
154,_RedBlackTree._find_node,71884,8681573703.1,47594923.31521262,1456372593.2,8479748.618953338,3215397.667814815,17627.749376004675,539397.2567407407,3140.6476366493844
155,_RedBlackTree._tree_insert,209547,15183027233.5,87556595.14686741,4419299277.0,25958960.02464705,5623343.419814815,32428.368572913856,1636777.51,9614.429638758167
156,_RedBlackTree._left_rotate,52779,402901459.8,3862047.2511777594,204222970.7,2608803.4292420195,149222.7628888889,1430.3878708065774,75638.13729629629,966.2234923118591
157,_RedBlackTree._right_rotate,12589,77848317.2,1428796.7452863264,45756158.2,301229.79486023134,28832.710074074075,529.1839797356764,16946.72525925926,111.56659068897457
159,_RedBlackTree.init,20401,9878254.6,149565.99017029582,9878254.6,149565.99017029582,3658.6128148148146,55.39481117418364,3658.6128148148146,55.39481117418364
160,_CallSign.init-values,100,37198.5,603.8538948419474,37198.5,603.8538948419474,13.777222222222223,0.22364959068220275,13.777222222222223,0.22364959068220275
161,_CallSign.compare_to,429888,1471738595.0,8689298.531842887,673369235.7,5134701.638915601,545088.3685185185,3218.2587154973658,249396.01322222225,1901.741347746519
162,_CallSign.init,100,40528.6,734.0933828450188,40528.6,734.0933828450188,15.010592592592593,0.2718864380907477,15.010592592592593,0.2718864380907477
163,_Collision.init-values,4305,3647303.5,40246.41722334787,3647303.5,40246.41722334787,1350.8531481481482,14.906080453091803,1350.8531481481482,14.906080453091803
164,_Collision.init,4305,3724982.9,51732.37747637254,3724982.9,51732.37747637254,1379.6232962962963,19.160139806063903,1379.6232962962963,19.160139806063903
