# Execution time is the total time spent inside the callee
caller identifier id,caller label,callee identifier id,callee label,calls,execution time(ticks),execution time(ticks)_std,execution time(μs),execution time(μs)_std
161,_Planner._make_plan,218,_BinaryConstraint.get_output,9006,15379976.4,116446.07930504091,5696.287555555556,43.12817752038552
161,_Planner._make_plan,229,_UnaryConstraint.get_output,15,6043.8,465.6200845731364,2.2384444444444447,0.17245188317523572
163,each,93,!=,19032,432715562.4,1813327.8293796529,160265.0231111111,671.6028997702418
163,each,110,Vector.append,5004,1790802168.0,7860998.92838684,663260.0622222222,2911.4810845877187
163,each,211,_BinaryConstraint.is_satisfied,8006,16520510.2,122940.28603204938,6118.707481481481,45.533439271129396
163,each,222,_UnaryConstraint.is_satisfied,6,3728.3,463.7545970831874,1.380851851851852,0.171760961882662
164,_Planner._add_constraints_consuming_to,112,Vector.for_each,11020,3391967862.8,10441166.520094605,1256284.3936296296,3867.09871114615
165,_Planner.add_propagate,92,=,8013,10092218.6,105683.90140433925,3737.858740740741,39.14218570531084
165,_Planner.add_propagate,101,not,14024,3747938.4,1281660.8150436517,1388.1253333333334,474.68919075690803
165,_Planner.add_propagate,104,vector_with,6011,687560877.9,2865994.816934715,254652.177,1061.4795618276723
165,_Planner.add_propagate,111,Vector.is_empty,14024,59843638.0,1335325.1934561608,22164.31037037037,494.56488646524474
165,_Planner.add_propagate,116,Vector.remove_first,8013,489902781.9,2483571.4316544062,181445.47477777777,919.8412709831134
165,_Planner.add_propagate,164,_Planner._add_constraints_consuming_to,8013,2129967800.3,7533232.0766348485,788876.963074074,2790.0859543092033
165,_Planner.add_propagate,218,_BinaryConstraint.get_output,14008,26398177.7,158545.301823236,9777.102851851852,58.72048215675407
165,_Planner.add_propagate,219,_BinaryConstraint.recalculate,4000,35358695.5,183086.37006830802,13095.813148148149,67.80976669196593
165,_Planner.add_propagate,229,_UnaryConstraint.get_output,2018,461825.3,16490.88163070412,171.0464074074074,6.107733937297822
165,_Planner.add_propagate,230,_UnaryConstraint.recalculate,1009,7659825.0,68111.41254552976,2836.972222222222,25.22644909093695
165,_Planner.add_propagate,241,_ScaleConstraint.recalculate,3004,32958409.8,163051.33625159835,12206.818444444445,60.389383796888275
166,_Planner.change,43,lambda-43,40,97684.6,7773.375534476643,36.17948148148148,2.87902797573209
166,_Planner.change,94,<,44,234638.3,4112.736329475724,86.90307407407407,1.5232356775836016
166,_Planner.change,104,vector_with,4,265850.9,15614.907755090955,98.4632962962963,5.7832991685522055
166,_Planner.change,155,_Plan.execute,40,2650630540.5,19201107.003054947,981715.015,7111.521112242573
166,_Planner.change,160,_Planner.extract_plan_from_constraints,4,3153262966.1,11635929.381091738,1167875.1726296295,4309.603474478422
166,_Planner.change,194,_AbstractConstraint.destroy_constraint,4,3147226673.7,21282161.053150974,1165639.5087777777,7882.281871537398
166,_Planner.change,209,_AbstractConstraint.init,4,5271.2,702.395420198473,1.9522962962962962,0.26014645192536034
166,_Planner.change,221,_UnaryConstraint.init-values,4,1603323844.1,7038526.168775272,593823.6459629629,2606.8615439908413
166,_Planner.change,231,_UnaryConstraint.init,4,5391.2,698.9391660901089,1.9967407407407407,0.2588663578111514
